spt_id,mjd,ts,ra,dec,95_flux,95_flux_err,150_flux,150_flux_err,220_flux,220_flux_err,spectral_index_95_150,spectral_index_95_150_err,spectral_index_150_220,spectral_index_150_220_err,dr3_source_id,p-value,source_ra,source_dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_err,binary,2rxs_id,2rxs_ref,2rxs_flux
SPT-SV J212044.7-543755,59819.21,940.695399,320.18634,-54.632109,139.338521,7.718402,181.366857,7.945979,181.642955,28.881471,0.577144,0.154622,0.003972,0.430627,6463546350186454144,0.00103,320.183645,-54.633106,10.334653,10.930648,9.583086,4.996734,0.014739,True,2RXS J212043.2-543801,Freund,0.0
SPT-SV J231040.7-610803,59826.49,90.545261,347.669642,-61.13439,39.598262,7.253049,62.921051,7.514671,86.595029,25.483857,1.013874,0.478727,0.833859,0.829256,6490166213890463616,0.005225,347.664351,-61.134013,12.528771,13.707936,11.442798,17.307563,0.017139,False,2RXS J231039.6-610757,Freund,0.0
SPT-SV J012218.6-564356,59834.56,105.229435,20.577712,-56.732224,51.073256,7.767807,61.136808,7.820322,80.410806,27.69949,0.39376,0.43509,0.715509,0.959439,4910693055937045888,8.7e-05,20.579004,-56.73159,8.638605,9.039242,8.0658,8.849325,0.013391,True,2RXS J012221.2-564406,Freund,0.0
SPT-SV J021007.2-543039,59839.07,90.145546,32.530007,-54.510897,57.901267,7.490505,34.007092,7.595292,55.062835,27.042073,-1.165102,0.565081,1.258265,1.40868,4743636248509810944,0.000492,32.533261,-54.511077,9.731695,10.317272,8.997075,4.834732,0.03874,False,2RXS J021008.2-543037,Freund,0.0
SPT-SV J220644.5-474413,59842.17,111.381477,331.685565,-47.73712,32.322308,8.293703,51.942943,8.393549,13.031445,29.714971,1.038598,0.663888,-3.610466,5.968711,6560463421092689024,0.001357,331.686357,-47.737493,11.551206,12.199114,10.746984,2.836155,0.027671,False,2RXS J220645.3-474418,Freund,0.0
SPT-SV J023947.9-425304,59851.23,598.402352,39.949888,-42.884468,141.325899,8.315061,134.322747,8.443659,62.183996,31.208605,-0.111269,0.188502,-2.01087,1.320644,4946915641880235904,0.00619,39.951985,-42.884857,12.378097,14.090264,11.105906,25.30685,0.11523,True,2RXS J023948.0-425326,DR3/2RXS Proximity,0.0
SPT-SV J005142.1-645723,59854.89,139.634617,12.925682,-64.956635,60.920252,7.262096,52.620413,6.852444,36.450253,23.187236,-0.320654,0.38652,-0.95865,1.695403,4708842443566593536,0.00287,12.928508,-64.954608,11.484346,11.941191,10.850668,2.349151,0.01391,True,,,
SPT-SV J205947.4-480955,59871.16,87.683692,314.94784,-48.165488,50.266604,8.391144,66.578115,8.494336,76.384812,29.203442,0.615282,0.459993,0.358775,1.052362,6481430353489019776,0.005717,314.946487,-48.165349,14.142103,16.082415,12.828092,11.94507,0.036899,False,,,
SPT-SV J223834.4-633406,59872.95,191.980173,339.643587,-63.568395,84.036964,9.453291,106.571131,9.738327,82.34616,32.607044,0.520091,0.317296,-0.673332,1.061072,6404861806838482944,0.013715,339.648916,-63.572703,8.725044,9.226127,8.054096,2.765929,0.014588,True,2RXS J223836.2-633439,Freund,0.0
SPT-SV J215837.2-454432,59877.83,359.433801,329.655332,-45.742414,122.469364,8.735894,107.171107,11.688914,43.274035,41.226633,-0.292133,0.28532,-2.367865,2.503733,6561698791124472960,0.00011,329.657411,-45.743346,7.679188,7.757608,7.498596,3.837477,0.023148,True,2RXS J215838.2-454439,Freund,0.0
SPT-SV J204421.6-535104,59887.43,49.530379,311.090117,-53.851326,48.714643,7.717848,32.619391,8.33975,42.011655,31.64184,-0.878085,0.658502,0.660693,2.076751,6471134835842209792,0.000157,311.087248,-53.850918,10.082267,10.651243,9.357035,2.764819,0.017666,True,2RXS J204420.2-535112,Freund,0.0
